"year_week","country_code","cases_from_tests","positivity_rate","cases_from_deaths","deaths","doses","hospitalizations","active_restrictions"
"2020-W36","AT",2266,2.70622096425543,2266,4,NA,NA,"ClosHigh, ClosPubAnyPartial, IndoorOver1000, MassGatherAllPartial, OutdoorOver1000, PlaceOfWorshipPartial, QuarantineForInternationalTravellers, Teleworking"
"2020-W37","AT",3996,4.63352697672801,3996,11,NA,NA,"ClosHigh, ClosPubAnyPartial, IndoorOver1000, MassGatherAllPartial, OutdoorOver1000, PlaceOfWorshipPartial, QuarantineForInternationalTravellers, Teleworking"
"2020-W38","AT",5215,5.08200395645946,5215,15,NA,NA,"ClosHigh, ClosPubAnyPartial, IndoorOver50, MasksMandatoryAllSpaces, MassGather50Partial, MassGatherAllPartial, OutdoorOver100, PlaceOfWorshipPartial, QuarantineForInternationalTravellers, Teleworking"
"2020-W39","AT",4661,4.20607132544037,4661,26,NA,NA,"ClosHigh, ClosPubAnyPartial, IndoorOver50, MasksMandatoryAllSpaces, MassGather50Partial, MassGatherAllPartial, OutdoorOver100, PlaceOfWorshipPartial, QuarantineForInternationalTravellers, Teleworking"
"2020-W40","AT",5611,4.28732979812644,5611,30,NA,NA,"ClosHigh, ClosPubAnyPartial, IndoorOver50, MasksMandatoryAllSpaces, MassGather50Partial, MassGatherAllPartial, OutdoorOver100, PlaceOfWorshipPartial, QuarantineForInternationalTravellers, Teleworking"
"2020-W41","AT",7492,6.00980242734412,7492,50,NA,NA,"ClosPubAnyPartial, IndoorOver50, MasksMandatoryAllSpaces, MassGather50Partial, MassGatherAllPartial, OutdoorOver100, PlaceOfWorshipPartial, QuarantineForInternationalTravellers, Teleworking"
"2020-W42","AT",9900,7.63611961711416,9900,58,NA,NA,"ClosPubAnyPartial, IndoorOver50, MasksMandatoryAllSpaces, MassGather50Partial, MassGatherAllPartial, OutdoorOver100, PlaceOfWorshipPartial, QuarantineForInternationalTravellers, Teleworking"
"2020-W43","AT",18300,11.5096511254929,18300,102,NA,NA,"ClosPubAnyPartial, IndoorOver50, MasksMandatoryAllSpaces, MassGather50Partial, MassGatherAllPartial, OutdoorOver100, PlaceOfWorshipPartial, PrivateGatheringRestrictions, QuarantineForInternationalTravellers, Teleworking"
"2020-W44","AT",31655,18.8505651298786,31655,236,NA,NA,"ClosPubAnyPartial, IndoorOver50, MasksMandatoryAllSpaces, MassGather50Partial, MassGatherAllPartial, OutdoorOver100, PlaceOfWorshipPartial, PrivateGatheringRestrictions, QuarantineForInternationalTravellers, Teleworking"
"2020-W45","AT",44777,22.4370762701248,44777,369,NA,NA,"BanOnAllEvents, ClosHighPartial, ClosPubAnyPartial, ClosSec, EntertainmentVenues, GymsSportsCentres, HotelsOtherAccommodation, IndoorOver50, MasksMandatoryAllSpaces, MassGather50, MassGather50Partial, MassGatherAll, MassGatherAllPartial, OutdoorOver100, PlaceOfWorshipPartial, PrivateGatheringRestrictions, QuarantineForInternationalTravellers, RestaurantsCafes, StayHomeOrderPartial, Teleworking"
"2020-W46","AT",47844,22.2484700805417,47844,552,NA,NA,"BanOnAllEvents, ClosHighPartial, ClosPubAnyPartial, ClosSec, EntertainmentVenues, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, PlaceOfWorshipPartial, PrivateGatheringRestrictions, QuarantineForInternationalTravellers, RestaurantsCafes, StayHomeOrderPartial, Teleworking"
